bin_start,all_fragments,Sequenceable_Fragments,NlaIII_digest,MluCI_digest
0,1650746,693452,294076,664059
10,2492710,1001327,467961,1049162
20,2124529,879548,441239,856457
30,1800784,753445,391689,732029
40,1576887,682853,349227,639826
50,1382175,605243,325583,562247
60,1190811,524974,298952,491429
70,1067081,463664,282129,455870
80,942878,424849,255081,407180
90,824662,370416,246722,359619
100,719017,321406,231774,326969
110,644131,284894,219792,306397
120,571141,255337,206357,276539
130,515823,230373,197096,260186
140,457021,209846,188437,234791
150,401535,184353,178034,215355
160,356443,164675,168128,198384
170,321537,148437,161777,186882
180,287434,131280,155627,177313
190,255421,119304,147641,163433
200,228130,105141,143897,154956
210,205271,94196,140611,148152
220,185328,85085,131073,141238
230,165026,77172,124519,131250
240,148819,69875,119155,124618
250,135401,63611,115277,120609
260,122342,57960,111366,114647
270,108871,50688,108254,108861
280,99320,46334,103287,104606
290,89634,41881,99165,100125
300,80699,38166,96371,95591
310,73032,34023,95046,93528
320,65982,30741,89830,88512
330,60809,28823,86611,84544
340,56104,26459,82757,83519
350,49485,23145,79947,79296
360,44818,21204,77102,76446
370,40846,19011,75061,73187
380,36875,17175,71332,71417
390,34265,16185,69350,68219
400,30996,14432,66938,65672
410,28450,13393,65989,63067
420,26474,12226,63898,61206
430,23434,10801,61592,59308
440,21493,10061,59284,57218
450,20418,9702,57318,54622
460,18240,8463,55289,53452
470,16306,7750,52936,51099
480,15219,7187,51673,49760
490,14201,6717,50171,48219
500,13128,6103,48138,46382
510,11917,5689,46446,44705
520,10993,5122,45203,43449
530,9994,4705,43234,41946
540,9326,4294,42326,40612
550,8483,3928,41276,39203
560,8018,3624,39360,37979
570,7438,3398,38013,36899
580,6902,3174,36815,35467
590,6233,2851,35197,34252
600,5772,2657,33988,33091
610,5437,2445,32923,31939
620,4784,2193,31731,30363
630,4734,2175,31007,30035
640,4401,1958,29948,29118
650,4090,1889,28660,28288
660,3831,1743,27548,27149
670,3658,1672,27003,26396
680,3374,1534,25838,25339
690,3228,1488,25061,24749
700,3002,1367,24488,23869
710,2799,1273,23294,22678
720,2604,1162,22540,22133
730,2496,1138,21959,21674
740,2404,1138,21097,20418
750,2244,1011,20487,20162
760,2020,898,19879,19628
770,2002,883,19029,18516
780,1916,852,18386,18235
790,1792,806,17876,17705
800,1961,1018,17431,17059
810,1672,793,16525,16667
820,1604,708,16203,15981
830,1544,748,15725,15314
840,1457,684,15169,15182
850,1378,668,14620,14414
860,1310,603,13989,13903
870,1308,613,13837,13643
880,1266,606,13048,13374
890,1146,531,12842,12704
900,1099,504,12347,12165
910,1056,491,11725,11912
920,1005,449,11426,11523
930,1028,499,11088,11261
940,999,451,10830,10741
950,945,442,10516,10379
960,874,418,9959,10233
970,868,424,9905,9611
980,856,389,9417,9279
990,792,391,9095,9180
1000,791,368,8637,8902
1010,762,364,8501,8408
1020,727,364,8227,8288
1030,718,327,8035,8160
1040,595,287,7739,7776
1050,693,324,7412,7534
1060,643,289,7222,7253
1070,608,293,7103,6999
1080,585,247,6759,6877
1090,588,274,6607,6539
1100,551,244,6427,6397
1110,568,273,6213,6136
1120,602,293,5947,5934
1130,524,228,5740,5924
1140,508,239,5774,5585
1150,481,238,5445,5473
1160,515,261,5289,5356
1170,459,215,5158,5175
1180,472,205,4953,5094
1190,524,239,5181,5380
